,sobject_id,Li_fe,C_fe,O_fe,Na_fe,Mg_fe,Al_fe,Si_fe,K_fe,Ca_fe,Sc_fe,Ti_fe,Ti2_fe,V_fe,Cr_fe,Mn_fe,Co_fe,Ni_fe,Cu_fe,Zn_fe,Y_fe,Zr_fe,Ba_fe,La_fe,Ce_fe,Nd_fe,Sm_fe,Eu_fe,e_Li_fe,e_C_fe,e_O_fe,e_Na_fe,e_Mg_fe,e_Al_fe,e_Si_fe,e_K_fe,e_Ca_fe,e_Sc_fe,e_Ti_fe,e_Ti2_fe,e_V_fe,e_Cr_fe,e_Mn_fe,e_Co_fe,e_Ni_fe,e_Cu_fe,e_Zn_fe,e_Y_fe,e_Zr_fe,e_Ba_fe,e_La_fe,e_Ce_fe,e_Nd_fe,e_Sm_fe,e_Eu_fe,z_Rzphi,R_Rzphi
21546,140413005401357,0.3724616885185241,0.8900897979736335,0.4827294158935551,-0.043767986297607,0.1171921730041507,0.3016379737854002,0.087558059692383,0.1310955810546872,0.0587418746948245,0.1681192779541014,0.1145344883626889,0.1536897467202526,0.3822391128540037,0.0915042114257813,-0.089361743927002,0.1761102104187015,0.2652282905578609,0.1108766546481472,-0.0435099725213088,-0.1543672943115233,0.4341339492797851,-0.2767667007446288,0.7523266029357911,0.1624275302886961,1.086118793487549,0.2658888244628905,0.4325210380554199,0.1223202849092506,0.1728698564134355,0.2000831692516491,0.1029520755616672,0.1669322794627943,0.1104647189790121,0.102814710719676,0.1505133843197025,0.1187419035799591,0.0971679265215398,0.1259858454604009,0.1370786948379229,0.2816002716689779,0.1386065884305406,0.1647741475518437,0.2201465046018013,0.1745723939575557,0.0876538878081867,0.1922605144461612,0.3243359247077358,0.1850878035866124,0.1591245857994775,0.1390527652865646,0.1797692951890957,0.1168752414484489,0.2177745252847671,0.1326085263948741,0.2682806896247637,7.182536528912452
22834,140414003601082,-0.078029203414917,-0.0104066848754875,-0.0547909927368159,0.0792564773559574,-0.1838685035705562,0.1892779731750486,-0.0211465072631833,-0.0255592536926272,-0.1321088600158688,-0.0627223587036134,-0.0475065749381308,-0.0730450859148947,0.1295002177768972,0.0753132057189942,-0.0647216606140137,0.0685936764602637,0.0932499054740661,0.0290401300308777,-0.4131338934692335,0.044049415588379,0.0210561422829749,-0.0293158721923827,0.2135749053955078,0.0373586273193358,0.3002566146850587,-0.0935474967956542,-0.1540483903884887,0.1083809942084642,0.1549210489197884,0.1708654135316998,0.0796290917430599,0.1210904880541693,0.0931388615751774,0.0824829871585113,0.1217542582515722,0.1000316660310491,0.0786123614879003,0.0737265000107099,0.1093387729867074,0.1374347154910782,0.1109665912893327,0.123092437774494,0.1046134577107438,0.1002545302376591,0.0749597962488748,0.1501133991368598,0.2473417182936395,0.1188865175119829,0.1278925099049504,0.139411593004749,0.1645807049156435,0.1742426601461184,0.1489248780127232,0.1193308283946884,0.3008393871347593,7.658266366984143
24796,140607001401189,0.4317644357681274,0.8087862014770515,0.5971455383300786,0.155671539306641,0.2828940391540531,0.4288662338256834,0.3028748321533205,0.0485188293457028,0.1023076248168948,0.1040094757080076,0.3527230470799458,0.175738784522741,0.2621023387664298,-0.0430363464355467,0.0067938995361327,0.2652457427978518,0.1378613502361238,0.0767549896240238,-0.06661139883114,-0.653735008239746,0.9020441436767576,-0.0280284118652343,0.8314719390869141,0.2709041690826415,1.109060859680176,0.5030771160125733,0.5284027981758118,0.1081229144462143,0.1545853214043687,0.1703455863407754,0.0792404607756403,0.1203554659396583,0.0928305261941304,0.08213786456418,0.1212613453199802,0.0997007610306462,0.0782909089501823,0.1101896314969114,0.0759895656684625,0.1370331259836829,0.110491457053499,0.1224069017039216,0.1240523235314973,0.0999536643604355,0.0999566009541125,0.1493934112895793,0.246059180555829,0.1743299812078476,0.127356791085985,0.1392138108340384,0.1642909478037221,0.1726451218128204,0.1487401236931637,0.1190799868203941,-0.5101608350041461,7.434743854174538
24905,140607001401355,-0.1017392158508301,0.2149346351623542,-0.2930288505554195,0.0364574813842777,-0.0472193717956539,0.0716551208496092,-0.0739371490478513,0.0351254272460934,-0.0508419799804684,-0.0318724250793458,-0.0327431348858249,-0.158524266078458,0.0059788322448728,0.0782266807556153,-0.0193200874328614,-0.028123621519882,-0.0197461239142852,0.0503895350583462,-0.0369480896475621,-0.1396096611022947,-0.1496439552307129,-0.3327383232116698,0.1576643180847168,0.1220787620544432,0.3101056861877442,0.170717372894287,0.1606399345397949,0.1107070962303013,0.1579411303426849,0.1755860408649115,0.0832016633537855,0.1278953601919648,0.0959387595461513,0.0856447276708779,0.1262618349268072,0.1030400261100576,0.0815461144372292,0.0766269585474282,0.0928037053131711,0.175876468445064,0.1153091951111253,0.129409572733716,0.1069998602226951,0.1029740157069391,0.0770595349755456,0.1567022177078111,0.2591324237860704,0.1718398346180937,0.1327908196417941,0.1411809099959043,0.1671774683969981,0.1772812497140988,0.1817395240068435,0.121583030763496,-0.5704513676789865,7.370702783535551
25333,140608001401203,0.4706151008605956,0.3426998138427741,0.1961760330200199,0.1244730377197269,-0.0173097610473629,0.1325662994384764,0.0684292602539065,-0.0169795227050784,0.2142904472351077,0.1261366271972654,0.1159281735288896,0.0732105272326076,-0.3058550262451174,0.0199576568603516,-0.0956283378601074,0.0872239494323734,-0.0443234557943328,-0.0662724102252579,0.0021519067298404,-0.144794397985804,0.4039749526977538,0.1635123062133789,0.302628059387207,-0.1437667751312257,0.3010968017578126,0.1427901649475098,0.1998337435722351,0.1040043438567725,0.1492094919164365,0.162157286376986,0.0732459133916931,0.1091540886589837,0.0879732152288472,0.076783028680803,0.1135898180767486,0.0944984130310147,0.0732707473332018,0.089140608068825,0.0807131809109389,0.2118806314336895,0.1030896349437689,0.1118761119091369,0.1850583726008783,0.0951768357823443,0.0722336332614411,0.1382026131664246,0.1796797539616629,0.1638949322906264,0.1190169508197874,0.1731478571891784,0.1596207074009925,0.1684511859784177,0.1457483277958644,0.1150501013872838,0.6105226906691726,8.166054879400033
26058,140608004301013,0.3230117082595825,0.2907798767089851,-0.3847499084472652,-0.0393887138366695,-0.029418563842773,0.1617620849609373,-0.0336291503906247,-0.0522363853454592,-0.9963743019104,0.0859487915039061,0.2178494406956362,-0.1291610255672063,0.4078058340365545,0.2445741844177247,-0.142589168548584,0.2503578240320244,0.083772817520946,0.1834457530561419,-0.3493686391474966,-0.1089967569923035,0.5090302766000655,-0.4375704956054687,0.4203154993057252,0.2634252166748045,0.7682022809982301,0.2373559141159058,0.2009590196609497,0.1107544329560525,0.158002481241611,0.1756827646286976,0.0832756751089926,0.1280372336975606,0.0959961257167794,0.0857100262543826,0.1263547780801812,0.1031017286565426,0.0816064976080316,0.078752932474154,0.0929590304498336,0.1516871254776047,0.1153986921817167,0.129540726412744,0.1070483799446351,0.1030294995934748,0.0771023641200857,0.1568381591867704,0.2026164499964645,0.120862403873366,0.1328918061071361,0.1327511208366788,0.1672300393637373,0.1102649132365155,0.1506095410297045,0.1216287037325837,-0.4478969210528112,6.731486648350359
26108,140608004301095,0.1253723621368407,0.4322464942932136,0.2644481468200688,0.0652789497375492,0.3115080833435062,0.3693288230895994,0.1682617950439455,0.2668539810180661,0.0715721321105959,0.1330521965026854,0.2242403714602545,0.1056325975404589,-0.0461232566833498,0.0380831909179688,-0.1071444320678711,0.1231516109222425,0.1249732194418443,0.2047486597875494,0.2565693497991271,-0.0305761196530324,0.3429355812072754,-0.2135557365417479,0.4389673423767091,-0.0792532110214234,0.5150560188293458,0.2275267982482909,0.2914326119422913,0.0976268170283939,0.1408145003125714,0.1498849117267852,0.0647223181237198,0.093703264800384,0.0806916375219628,0.0690557999721894,0.1024335450789311,0.0867389408960976,0.0659071353762272,0.0611369453829592,0.0752479879227777,0.156335084445563,0.0923000098328037,0.0970565419842347,0.0935221456292543,0.087879598925661,0.0654114073916496,0.1219893660691589,0.1596303958684627,0.154099920768011,0.1068811331545664,0.2366739362478256,0.1522070066454473,0.1598260114387971,0.1790298372507095,0.10870473202697,-0.1357599495929146,7.688993501927881
28461,140611000601112,0.2730094909667968,-0.0461852073669426,-0.1296501350402827,0.1309246444702152,0.0607012748718265,0.2204721832275389,0.0430815505981447,0.0443326759338376,-0.0002567100524899,0.085748996734619,0.0906666079617164,0.0099600647304979,0.0572273826599118,0.0923596572875977,0.0825876426696776,0.068064467716184,0.1523695003679558,0.2517064794049407,0.1430801188647222,-0.0288395600446411,0.3821166419982909,-0.0836176109313964,0.1804649634702049,0.1490906333923338,0.2526811408996583,0.1262713813781737,0.0566026496887207,0.0645528498937082,0.0955304652058555,0.0950000165261904,0.0343150647838673,0.0449773150421622,0.0480951614194787,0.0397325584602701,0.0586831774460497,0.0527728502851618,0.0359431783287991,0.0319359941168282,0.0403193899225705,0.1045362387400454,0.04955589673704,0.0463920619870677,0.0491958224510135,0.0528368089714806,0.0392469248995368,0.0598899091276709,0.0825288194745562,0.1225503534078598,0.0591609301741704,0.0792104282554136,0.108990398928004,0.1103898476778628,0.1355137974023819,0.0731188209476266,0.2533032805423332,7.964390214383152
29143,140611001601221,0.9692022323608398,0.533267784118653,0.2982020187377934,0.1198405647277836,0.2615450859069828,0.241212692260742,0.1850736427307131,0.3366362380981442,0.1577776145935061,0.1283157730102537,0.34214935529094,0.0347268483963238,0.2689530944824216,-0.0729945945739745,-0.1384797859191895,0.1536116027832035,0.0640952436486275,0.1550915570049149,-0.0593231647746204,-0.2224526373465392,0.6506285858154297,-0.3372163009643554,0.7557457637786866,0.0973392581939696,1.088070607185364,0.4014215135574341,0.4905781674385071,0.1132846191176926,0.1612755673592685,0.1808905838106422,0.0873081365319162,0.1358204233594837,0.0990846949327105,0.0892559235005616,0.1313930633512669,0.1064275365019374,0.0848734328324273,0.1067205817745068,0.0835447040796334,0.2458731349642524,0.1202475803900897,0.1367032463792691,0.2028522324500203,0.1154786420116839,0.0793967984785807,0.1642119411049334,0.2116559438194031,0.174542561173439,0.138365327506167,0.134170196315248,0.1700245021101574,0.1117466503827311,0.1523776362512752,0.1240608895261291,-0.1870644565276233,7.499670349303241
30607,140707000101307,0.289239478111267,0.4396131515502937,-0.0062136840820308,-0.1060548400878902,-0.0130520820617672,0.0955046081542967,-0.0855095100402829,-0.0179184150695803,0.2476881217956545,0.0122602844238279,0.1239359988191293,0.1638856560235336,-0.0400913328294485,0.012812728881836,0.0327834320068358,0.0795568847656253,-0.0748855539945358,0.0027822195664325,-0.0078438509667229,0.1146217488864102,0.0390607716027765,-0.0881308746337889,0.3149428558349609,-0.0082832717895509,0.389319305419922,-0.0363505935668946,0.2137994694709778,0.111212542599225,0.1585959946477182,0.1766201751802937,0.0839946450699099,0.1294172937837816,0.0965520918322392,0.086343938562455,0.1272567517008124,0.1036998546517419,0.0821922671730879,0.0772652366639753,0.1152408975129034,0.1433937497312672,0.1162671317051959,0.13081537411214,0.198882137005943,0.104358765947133,0.0775170431342008,0.1581575808628015,0.2042354961861965,0.1212415028990195,0.1338718092268973,0.1415622551507727,0.1677382482539166,0.1779380223568854,0.1994151473045349,0.1220703869127046,0.5203574087978788,7.465477716854719
